title,created_at,breadcrumb,link,metadata
HPSH Rotary Screw Compressor IOM (1510),2020-03-06,,/viewer/document/Dx7HJvR53kjxsOH2PiIw0g,"Product code: 1510 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: HPSH,Document Revision: 2018-05 (other choices available),Version: 2018-05 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.750-IOM (other choices available)"
"HPSH Rotary Screw Compressor SPC (1510, 2709, and 2712)",2020-03-06,,/viewer/document/qOJN~RMGQli9hh1XWleuvQ,"Product code: 2712 | 1510 | 2709 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: HPSH,Document Revision: 2019-05 (other choices available),Version: 2019-05 (other choices available),Document Type: Specification Guide,Document Number: 070.755-SPC"
NGC Gas Compressor IOM (100-450),2020-03-06,,/viewer/document/5_pLk_RUsGZFj_GlEoGryQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: NGC,Document Revision: 2014-02 (other choices available),Version: 2014-02 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.800-IOM"
NGC Rotary Screw Compressors IOM (100-450),2020-03-06,,/viewer/document/W2sHBB7lm8aXh7a5JCSztQ,"Product code: 100 | 250 | 150 | 450 | 200 | 400 | 300 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: NGC,Document Revision: 2016-09 (other choices available),Version: 2016-09 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.550-IOM"
NGC Rotary Screw Compressors SPC (100-450),2020-03-06,,/viewer/document/IonkN1h1H201uOanbUZh3g,"Product code: 100 | 250 | 150 | 450 | 200 | 400 | 300 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: NGC,Document Revision: 2014-11 (other choices available),Version: 2014-11 (other choices available),Document Type: Specification Guide,Document Number: 070.550-SPC"
RWB II IOM (496-1080),2020-03-06,,/viewer/document/b6zHHSanvtI_5KhRNlAvCA,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWBII,Document Revision: 2005-09 (other choices available),Version: 2005-09 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: S70-210-IOM (other choices available)"
RWB II IOM (496-1080),2020-03-06,,/viewer/document/dBOB50nc32kSZWrBqUOf9A,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWBII,Document Revision: 2005-09 (other choices available),Version: 2005-09 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: S70-210-IOM (other choices available)"
RWB II SPC (60 and 480),2020-03-06,,/viewer/document/0Z0~49oIKcLe34KRLqb_xg,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWBII,Document Revision: 2001-04 (other choices available),Version: 2001-04 (other choices available),Document Type: Specification Guide,Document Number: E70-200-SPC (other choices available)"
RWF II Vertical SPC (496-1395 with Quantum LX),2020-03-06,,/viewer/document/qR7SONhAvTT1hiikYI7izQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWFII,Document Revision: 2010-07,Document Type: Specification Guide,Document Number: 070.620-SPC"
RWF IOM (100-480),2020-03-06,,/viewer/document/5Al5T4OAdUAolFQtSPxv6Q,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWF,Document Revision: 2013-01 (other choices available),Version: 2013-01 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.600-IOM (other choices available)"
RWF SPC (100-480),2020-03-06,,/viewer/document/9OlylE~JeZtJDEOxZXXyuQ,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWF,Document Revision: 2000-10 (other choices available),Version: 2000-10 (other choices available),Document Type: Specification Guide,Document Number: E70-600-SPC"
RWFII IOM (100-1080 with Quantum HD),2020-03-06,,/viewer/document/tQuyv91YmYdIgcCkv3s8sw,"Product code: 119 SS | 100 | 375 SS | 177 | 399 | 496 | 1080 | 222 | 264 SS | 472 SS | 856 | 159 SS | 270 | 546 | 480 | 676 | 316 | 209 SS | 134 (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWFII,Document Revision: 2018-12 (other choices available),Version: 2018-12 (other choices available),Document Type: Installation Operation and Maintenance Guide,Document Number: 070.610-IOM"
RWFII SPC (100-546 with Quantum HD),2020-03-06,,/viewer/document/ivw2FIZyFrjf83IlOIFjYw,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWFII,Document Revision: 2012-08 (other choices available),Version: 2012-08 (other choices available),Document Type: Specification Guide,Document Number: 070.610-SPC"
RWFII SPC (100-546 with Quantum HD),2020-03-06,,/viewer/document/D08hp0vWkOvysnlY~sZ1sg,"Product code: 546B | 134H | 222H | 177H | 100H | 270H | 316B | 134B | 270B | 316H | 222B | 399B | 399H | 480H | 100B | 546H | 177B | 480B (other choices available),Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWFII,Document Revision: 2014-07 (other choices available),Version: 2014-07 (other choices available),Document Type: Specification Guide,Document Number: 070.610-SPC1 (other choices available)"
RWFII SPC (496-1080 with Quantum HD),2020-03-06,,/viewer/document/8LM_sqp1thboNr2QEE7Z5A,"Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWFII,Document Revision: 2012-08 (other choices available),Version: 2012-08 (other choices available),Document Type: Specification Guide,Document Number: 070.610-SPC"
RWH Rotary Screw Compressor Units IOM,2020-03-06,,/viewer/document/kYVaYaV7LAlPBw53USJTUw,"Product code: 1395 | 1179 | 852,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWH,Document Revision: 2012-12,Document Type: Installation Operation and Maintenance Guide,Document Number: 070.620-IOM"
"RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)",2020-03-06,,/viewer/document/yJXsQ~_58JNCdUEENzj6ZQ,"Product code: 1395 | 1179 | 852,Business: Industrial Refrigeration,Brand: FRICK,Category: Compressor,Product: RWH,Document Revision: 2013-02,Document Type: Specification Guide,Document Number: 070.620-SPC"
